 <header> 	Time	DATA_PacketSentContor	DATA_PacketReceivedContor	DATA_PacketReceivedPercentage	DATA_PacketDeliveryLatency_MAX	SEND_PACKET_Contor	RECEIVE_PACKET_Contor	SINK_RECEIVED_TARGET_Contor	SINK_RECEIVED_DATAVALUES_Contor	MESSAGE_HOPS_Contor	A_EnergyLeftPercentage_AVG	 	Row Labels	Average of MESSAGE_HOPS_Contor	Average of A_EnergyLeftPercentage_AVG
 <row	0	0	0	0	0	0	0	0	0	0	0		0	0	74.99
 <row	0	0	0	0	0	0	0	0	0	0	99.99		0.1	0	99.962
 <row	0	0	0	0	0	0	0	0	0	0	99.99		0.2	0	99.94
 <row	0	0	0	0	0	0	0	0	0	0	99.98		0.3	0	99.928
 <row	0.1	0	0	0	0	0	0	0	0	0	99.97		0.4	0	99.92
 <row	0.1	0	0	0	0	0	0	0	0	0	99.97		0.5	0	99.92
 <row	0.1	0	0	0	0	0	0	0	0	0	99.96		0.6	0	99.91285714
 <row	0.1	0	0	0	0	0	0	0	0	0	99.96		0.7	0	99.91
 <row	0.1	0	0	0	0	0	0	0	0	0	99.95		0.8	0	99.90714286
 <row	0.2	0	0	0	0	0	0	0	0	0	99.95		0.9	0	99.9
 <row	0.2	0	0	0	0	0	0	0	0	0	99.95		1	4211.285714	99.89714286
 <row	0.2	0	0	0	0	0	0	0	0	0	99.94		1.1	42180.8	99.872
 <row	0.2	0	0	0	0	0	0	0	0	0	99.94		1.2	90996.57143	99.84285714
 <row	0.2	0	0	0	0	0	0	0	0	0	99.94		1.3	139998.6	99.814
 <row	0.2	0	0	0	0	0	0	0	0	0	99.93		1.4	188863.5714	99.78714286
 <row	0.2	0	0	0	0	0	0	0	0	0	99.93		1.5	237349	99.758
 <row	0.3	0	0	0	0	0	0	0	0	0	99.93		1.6	286502.1429	99.72714286
 <row	0.3	0	0	0	0	0	0	0	0	0	99.93		1.7	334920.8	99.698
 <row	0.3	0	0	0	0	0	0	0	0	0	99.93		1.8	383555	99.67142857
 <row	0.3	0	0	0	0	0	0	0	0	0	99.93		1.9	432246.6	99.642
 <row	0.3	0	0	0	0	0	0	0	0	0	99.92		2	481258	99.61285714
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.1	529244.4	99.582
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.2	578064.8571	99.55571429
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.3	626816.2	99.528
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.4	676008	99.49714286
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.5	724880	99.468
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.6	773787.1429	99.43857143
 <row	0.4	0	0	0	0	0	0	0	0	0	99.92		2.7	821804	99.412
 <row	0.5	0	0	0	0	0	0	0	0	0	99.92		2.8	870810.7143	99.38285714
 <row	0.5	0	0	0	0	0	0	0	0	0	99.92		2.9	919392.2	99.352
 <row	0.5	0	0	0	0	0	0	0	0	0	99.92		3	967723	99.32714286
 <row	0.5	0	0	0	0	0	0	0	0	0	99.92		3.1	1016053.8	99.298
 <row	0.5	0	0	0	0	0	0	0	0	0	99.92		Grand Total	350459.7566	99.16994709
 <row	0.6	0	0	0	0	0	0	0	0	0	99.92				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.92				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.6	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.7	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.7	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.7	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.7	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.7	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.91				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.8	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.9	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.9	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.9	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.9	0	0	0	0	0	0	0	0	0	99.9				
 <row	0.9	0	0	0	0	0	0	0	0	0	99.9				
 <row	1	0	0	0	0	0	0	0	0	0	99.9				
 <row	1	0	0	0	0	0	0	0	0	0	99.9				
 <row	1	0	0	0	0	0	0	0	0	0	99.9				
 <row	1	0	0	0	0	0	0	0	0	0	99.9				
 <row	1	0	0	0	0	2	0	0	0	0	99.9				
 <row	1	0	0	0	0	290	285	0	0	11685	99.89				
 <row	1	0	0	0	0	436	434	0	0	17794	99.89				
 <row	1.1	0	0	0	0	641	639	0	0	26199	99.88				
 <row	1.1	0	0	0	0	837	837	0	0	34317	99.88				
 <row	1.1	0	0	0	0	1027	1025	0	0	42025	99.87				
 <row	1.1	0	0	0	0	1226	1226	0	0	50266	99.87				
 <row	1.1	0	0	0	0	1422	1417	0	0	58097	99.86				
 <row	1.2	0	0	0	0	1642	1642	1	0	67322	99.86				
 <row	1.2	0	0	0	0	1833	1832	1	0	75112	99.85				
 <row	1.2	0	0	0	0	2027	2026	1	0	83066	99.85				
 <row	1.2	0	0	0	0	2214	2210	1	0	90610	99.84				
 <row	1.2	0	0	0	0	2417	2418	1	0	99138	99.84				
 <row	1.2	0	0	0	0	2612	2608	1	0	106928	99.83				
 <row	1.2	0	0	0	0	2801	2800	1	0	114800	99.83				
 <row	1.3	0	0	0	0	3006	3001	1	0	123041	99.82				
 <row	1.3	0	0	0	0	3223	3225	2	0	132225	99.82				
 <row	1.3	0	0	0	0	3430	3428	2	0	140548	99.81				
 <row	1.3	0	0	0	0	3610	3607	2	0	147887	99.81				
 <row	1.3	0	0	0	0	3813	3812	2	0	156292	99.81				
 <row	1.4	0	0	0	0	4011	4008	2	0	164328	99.8				
 <row	1.4	0	0	0	0	4207	4205	2	0	172405	99.8				
 <row	1.4	0	0	0	0	4394	4394	2	0	180154	99.79				
 <row	1.4	0	0	0	0	4590	4585	2	0	187985	99.79				
 <row	1.4	0	0	0	0	4818	4817	3	0	197497	99.78				
 <row	1.4	0	0	0	0	5024	5024	3	0	205984	99.78				
 <row	1.4	0	0	0	0	5215	5212	3	0	213692	99.77				
 <row	1.5	0	0	0	0	5396	5395	3	0	221195	99.77				
 <row	1.5	0	0	0	0	5589	5591	3	0	229231	99.76				
 <row	1.5	0	0	0	0	5795	5794	3	0	237554	99.76				
 <row	1.5	0	0	0	0	5988	5987	3	0	245467	99.75				
 <row	1.5	0	0	0	0	6179	6178	3	0	253298	99.75				
 <row	1.6	0	0	0	0	6418	6417	4	0	263097	99.74				
 <row	1.6	0	0	0	0	6605	6604	4	0	270764	99.74				
 <row	1.6	0	0	0	0	6798	6799	4	0	278759	99.73				
 <row	1.6	0	0	0	0	6997	6996	4	0	286836	99.73				
 <row	1.6	0	0	0	0	7174	7175	4	0	294175	99.72				
 <row	1.6	0	0	0	0	7368	7369	4	0	302129	99.72				
 <row	1.6	0	0	0	0	7555	7555	4	0	309755	99.71				
 <row	1.7	0	0	0	0	7748	7743	4	0	317463	99.71				
 <row	1.7	0	0	0	0	7988	7988	5	0	327508	99.7				
 <row	1.7	0	0	0	0	8171	8174	5	0	335134	99.7				
 <row	1.7	0	0	0	0	8375	8375	5	0	343375	99.69				
 <row	1.7	0	0	0	0	8563	8564	5	0	351124	99.69				
 <row	1.8	0	0	0	0	8753	8753	5	0	358873	99.68				
 <row	1.8	0	0	0	0	8951	8948	5	0	366868	99.68				
 <row	1.8	0	0	0	0	9154	9154	5	0	375314	99.68				
 <row	1.8	0	0	0	0	9343	9341	5	0	382981	99.67				
 <row	1.8	0	0	0	0	9574	9576	6	0	392616	99.67				
 <row	1.8	0	0	0	0	9748	9750	6	0	399750	99.66				
