StatCollector Log Time: 2016-10-04--03-12-24



SIDnet-SWANS Simulation Log File

GroupBy parameters:

<repeatIndex>		2
<experimentsTargetDirectory>		.
<runId>		1
<experimentId>		1
<experimentTag>		DM
<statsLoggingInterval[s]>		60000000000 


 <header> 	Time	DATA_PacketSentContor	DATA_PacketReceivedContor	DATA_PacketReceivedPercentage	DATA_PacketDeliveryLatency_MAX	SEND_PACKET_Contor	RECEIVE_PACKET_Contor	SINK_RECEIVEDX_Contor	SINK_RECEIVEDY_Contor	MESSAGE_HOPS_Contor	A_EnergyLeftPercentage_AVG	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.99	 
 <row> 0.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.98	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.98	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.97	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.1	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.96	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.2	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.95	 
 <row> 0.3	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.4	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.5	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.94	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.6	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.7	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.93	 
 <row> 0.8	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 0.9	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	3.0	0.0	0.0	0.0	0.0	99.92	 
 <row> 1.0	0	0	0	0	197.0	203.0	0.0	203.0	8323.0	99.9	 
 <row> 1.0	0	0	0	0	295.0	300.0	0.0	300.0	12300.0	99.9	 
 <row> 1.1	0	0	0	0	429.0	438.0	0.0	438.0	17958.0	99.88	 
 <row> 1.1	0	0	0	0	562.0	574.0	0.0	574.0	23534.0	99.87	 
 <row> 1.1	0	0	0	0	693.0	711.0	0.0	711.0	29151.0	99.86	 
 <row> 1.1	0	0	0	0	827.0	847.0	0.0	847.0	34727.0	99.85	 
 <row> 1.1	0	0	0	0	960.0	985.0	0.0	985.0	40385.0	99.84	 
 <row> 1.2	0	0	0	0	1091.0	1114.0	0.0	1114.0	45674.0	99.83	 
 <row> 1.2	0	0	0	0	1232.0	1266.0	0.0	1266.0	51906.0	99.82	 
 <row> 1.2	0	0	0	0	1368.0	1405.0	0.0	1405.0	57605.0	99.81	 
 <row> 1.2	0	0	0	0	1490.0	1527.0	0.0	1527.0	62607.0	99.8	 
 <row> 1.2	0	0	0	0	1624.0	1665.0	0.0	1665.0	68265.0	99.79	 
 <row> 1.2	0	0	0	0	1745.0	1788.0	0.0	1788.0	73308.0	99.78	 
 <row> 1.2	0	0	0	0	1872.0	1913.0	0.0	1913.0	78433.0	99.77	 
 <row> 1.3	0	0	0	0	2011.0	2056.0	0.0	2056.0	84296.0	99.76	 
 <row> 1.3	0	0	0	0	2154.0	2200.0	0.0	2200.0	90200.0	99.75	 
 <row> 1.3	0	0	0	0	2287.0	2334.0	0.0	2334.0	95694.0	99.74	 
 <row> 1.3	0	0	0	0	2409.0	2467.0	0.0	2467.0	101147.0	99.73	 
 <row> 1.3	0	0	0	0	2554.0	2613.0	0.0	2613.0	107133.0	99.71	 
 <row> 1.4	0	0	0	0	2673.0	2736.0	0.0	2736.0	112176.0	99.7	 
 <row> 1.4	0	0	0	0	2804.0	2871.0	0.0	2871.0	117711.0	99.69	 
 <row> 1.4	0	0	0	0	2952.0	3018.0	0.0	3018.0	123738.0	99.68	 
 <row> 1.4	0	0	0	0	3082.0	3147.0	0.0	3147.0	129027.0	99.67	 
 <row> 1.4	0	0	0	0	3210.0	3278.0	0.0	3278.0	134398.0	99.66	 
 <row> 1.4	0	0	0	0	3349.0	3418.0	0.0	3418.0	140138.0	99.65	 
 <row> 1.4	0	0	0	0	3467.0	3538.0	0.0	3538.0	145058.0	99.64	 
 <row> 1.5	0	0	0	0	3622.0	3698.0	0.0	3698.0	151618.0	99.63	 
 <row> 1.5	0	0	0	0	3758.0	3834.0	0.0	3834.0	157194.0	99.62	 
 <row> 1.5	0	0	0	0	3883.0	3961.0	0.0	3961.0	162401.0	99.61	 
 <row> 1.5	0	0	0	0	4030.0	4113.0	0.0	4113.0	168633.0	99.6	 
 <row> 1.5	0	0	0	0	4146.0	4229.0	0.0	4229.0	173389.0	99.59	 
